Query,Clicks,Impressions,CTR,Position
haruko obokata,0,6,0%,39.5
tính từ của science,0,6,0%,41.33
big phim,0,6,0%,41.83
cấu trúc bài nghiên cứu khoa học,0,6,0%,42
bảng xếp hạng đại học thế giới,0,6,0%,44.67
emerging sources citation index,0,6,0%,44.67
thực phẩm hữu cơ mua ở đâu,0,6,0%,45.33
khớp kêu,0,6,0%,45.5
danh sách các tạp chí khoa học quốc tế,0,6,0%,46.67
hoc ly,0,6,0%,47.17
phim jurassic park,0,6,0%,50
cách viết bài nghiên cứu khoa học,0,6,0%,54
cách tính p-value bằng tay,0,6,0%,54.17
chủng tộc người việt nam,0,6,0%,55
cách viết một bài báo khoa học,0,6,0%,55.5
bức tranh thiếu nữ bên hoa huệ,0,6,0%,57.17
phương pháp tiếp cận khoa học,0,6,0%,57.17
phim king kong 1933,0,6,0%,57.33
hoang gia nhat,0,6,0%,58.17
mua thực phẩm hữu cơ ở đâu,0,6,0%,58.83
mô hình hành vi mua của người tiêu dùng,0,6,0%,59.67
cổ sinh vật học,0,6,0%,60
humility là gì,0,6,0%,60.17
nghiên cứu nhật bản,0,6,0%,62.33
phê bình là gì,0,6,0%,62.83
nhà xuất bản y học,0,6,0%,63
thực dân,0,6,0%,63.5
học diễn viên,0,6,0%,65.67
trình tự logic của nghiên cứu khoa học,0,6,0%,67
đo lường là gì,0,6,0%,67.67
cân bằng công việc và cuộc sống,0,6,0%,68.17
palgrave communications,0,6,0%,68.17
chiến dịch sấm rền,0,6,0%,68.33
sc viet nam,0,6,0%,70.17
chuẩn mực xã hội,0,6,0%,70.83
phương pháp nghiên cứu tâm lý học,0,6,0%,73.17
truyền dẫn,0,6,0%,73.67
đường trí tuệ,0,6,0%,73.67
tạp chí quốc tế,0,6,0%,74.83
các loại kiếm,0,6,0%,76.83
thực phẩm hữu cơ ở việt nam,0,6,0%,79.83
cong cu tim kiem,0,6,0%,80.67
schindler's list phim,0,6,0%,80.67
tiếp thị xã hội,0,6,0%,81.33
nghien bong da,0,6,0%,81.67
scopus citescore 2017,0,6,0%,82.67
tap san biet dong quan,0,6,0%,83.83
giải nobel y học 2018,0,6,0%,84.83
researchgate,0,6,0%,86.67
phê bình,0,6,0%,87
assessment là gì,0,6,0%,88.83
râu đàn ông,0,6,0%,91.5
indexing là gì,0,6,0%,97
việt nam văn hóa,0,6,0%,101.33
feyman,0,5,0%,3
clavirate analytics,0,5,0%,3.4
sub- saharan africa,0,5,0%,3.8
đề tài nafosted 2018,0,5,0%,4.2
peer review,0,5,0%,5.8
khoảng trống trong nghiên cứu khoa học,0,5,0%,6.2
the big short nội dung,0,5,0%,7.6
game viết thời gian,0,5,0%,7.8
nắng xuyên qua kẽ lá,0,5,0%,9.6
scopus 2018,0,5,0%,10
acta vietnamica mathematica,0,5,0%,10.2
htt hoa sen,0,5,0%,10.6
scientific là gì,0,5,0%,11
csr tại việt nam,0,5,0%,12.2
tác giả trần mỹ tiên,0,5,0%,13.6
đầu sách,0,5,0%,15.4
ssh vietnam,0,5,0%,18.6
journal citation reports,0,5,0%,18.8
giải thích phim tiền đen,0,5,0%,20
nhà tâm lý học nổi tiếng hiện nay,0,5,0%,21
peer-reviewed là gì,0,5,0%,21.2
thu sếp,0,5,0%,22.6
toti,0,5,0%,23
công viên kỷ jura,0,5,0%,26
tml là gì,0,5,0%,26.2
nhíp quang học,0,5,0%,30
ăn quà vặt,0,5,0%,30
văn bản khoa học là gì,0,5,0%,30.2
nghiệm pháp rượu,0,5,0%,30.8
bài báo isi là gì,0,5,0%,32.6
1 vành đai 1 con đường,0,5,0%,36.2
ảnh cô độc,0,5,0%,36.8
sting la gi,0,5,0%,37.4
thuật toán bayes,0,5,0%,37.4
chỉ mục là gì,0,5,0%,39.6
tỉ giá chợ đen,0,5,0%,39.6
xem phim công thức cuối cùng,0,5,0%,40.2
dau chan du muc tap 29,0,5,0%,40.8
đức hi sinh,0,5,0%,42
vaithuhay,0,5,0%,42.6
phim built,0,5,0%,43
yếu tố ảnh hưởng đến tỷ giá hối đoái,0,5,0%,43.4
tỷ giá hối đoái kinh tế vĩ mô,0,5,0%,44
in nature là gì,0,5,0%,44.2
collateral damage là gì,0,5,0%,44.4
cân bằng giữa công việc và cuộc sống,0,5,0%,44.4
thiên hoàng akihito,0,5,0%,45
viết một đoạn,0,5,0%,45
sự trích dẫn,0,5,0%,47.2
khoa triết học,0,5,0%,48.2
nguyen van diep,0,5,0%,49.2
rộp da tay,0,5,0%,50
des hay,0,5,0%,50.8
tranh phố phái,0,5,0%,51.2
triết học kinh viện,0,5,0%,51.8
cách làm nghiên cứu khoa học,0,5,0%,52
lịch sử triết học trung quốc,0,5,0%,52.6
tỷ giá hối đoái việt nam,0,5,0%,53.2
phim quyết đấu,0,5,0%,53.8
mối quan hệ giữa triết học và khoa học,0,5,0%,54.8
thỏa mãn,0,5,0%,55.2
những thí nghiệm hay,0,5,0%,55.8
accepted là gì,0,5,0%,58.4
depocen,0,5,0%,58.8
bài nghiên cứu khoa học,0,5,0%,59.6
sách khoa học hay,0,5,0%,61
research gate,0,5,0%,62
dryad là gì,0,5,0%,63.2
sci-hub,0,5,0%,63.2
virus học,0,5,0%,63.8
chấp nhận lời mời làm việc,0,5,0%,64.4
tính khoa học,0,5,0%,64.8
chuẩn apa,0,5,0%,65.4
natalie phim,0,5,0%,65.4
võ hồng đức,0,5,0%,66
phát triển phần mềm mã nguồn mở,0,5,0%,66.4
học triết học,0,5,0%,66.8
bất bình đẳng trong giáo dục,0,5,0%,67.4
cung điện hoàng gia tokyo,0,5,0%,67.4
ảnh giao thông,0,5,0%,68.2
các tạp chí nổi tiếng thế giới,0,5,0%,68.4
bọn,0,5,0%,68.8
dù là,0,5,0%,69
trương hy triết,0,5,0%,69
dimensions là gì,0,5,0%,70.6
mathematics là gì,0,5,0%,70.6
học giả,0,5,0%,70.8
văn hóa đại chúng,0,5,0%,71.6
quá lâu,0,5,0%,72
nghiên cứu khoa học là gì,0,5,0%,73
trách nhiệm xã hội là gì,0,5,0%,73.8
đầu óc lâng lâng,0,5,0%,74
công cụ google,0,5,0%,74.8
crowdfunding việt nam,0,5,0%,76
triết học trung quốc,0,5,0%,76
khí thải co2,0,5,0%,76.4
di hay,0,5,0%,77.2
tiến hoàng tử,0,5,0%,77.4
cha truyền con nối,0,5,0%,79.2
revised là gì,0,5,0%,80.8
nghiên cứu tâm lý học,0,5,0%,81.2
thg 2016 tải lên bởi,0,5,0%,81.8
trần trọng lượng,0,5,0%,82.2
john nash là ai,0,5,0%,82.4
soát xét là gì,0,5,0%,83
khách sạn bốn sao ở luang prabang,0,5,0%,84.2
rà soát là gì,0,5,0%,86.2
kieểm tra đạo văn,0,5,0%,87
thì sao,0,5,0%,87.4
nhiệt độ nha trang hiện tại,0,5,0%,88.6
trạng thái cảm xúc,0,5,0%,90
charlie geller,0,5,0%,92.2
dễ hiểu,0,5,0%,93
truyền thông xã hội,0,5,0%,94.2
hàn lâm là gì,0,5,0%,95.8
phản biện,0,5,0%,98.4
tạp chí khoa học,0,5,0%,128.6
science pictures,0,4,0%,1
ssh free 2019,0,4,0%,5.25
almetrics,0,4,0%,5.5
jcr clarivate analytics,0,4,0%,5.75
scopus database,0,4,0%,5.75
2001 a space odyssey 2018,0,4,0%,6.75
danh mục tạp chí quốc tế uy tín,0,4,0%,7.25
elsevier,0,4,0%,7.25
cơ tai,0,4,0%,7.5
the space odyssey,0,4,0%,8.5
a big short,0,4,0%,9
michael burry,0,4,0%,9
trong thí nghiệm về ion,0,4,0%,9
cognitive scientists,0,4,0%,9.5
nhà xuất bản elsevier,0,4,0%,10
ngan nhà,0,4,0%,11.25
bayes rule,0,4,0%,11.5
bất bình đẳng kinh tế,0,4,0%,11.75
a space odyssey.,0,4,0%,12.25
scopus citescore,0,4,0%,12.25
journal of risk and financial management,0,4,0%,13.75
bereavement là gì,0,4,0%,14.5
nắng xuyên qua lá,0,4,0%,15
phân loại virus,0,4,0%,16
phạm quang hưng qua đời,0,4,0%,17
trì triết,0,4,0%,18.25
gay ong gia nhat ban,0,4,0%,18.5
george thomas,0,4,0%,18.75
tổng quan lý thuyết là gì,0,4,0%,19.25
corrected là gì,0,4,0%,21.5
những nhà tâm lý học nổi tiếng,0,4,0%,21.75
literature review la gi,0,4,0%,23.5
neanderthal,0,4,0%,23.75
thái tử nhật bản,0,4,0%,23.75
bài tổng quan tài liệu mẫu,0,4,0%,26.25
tổng quan nghiên cứu mẫu,0,4,0%,26.25
bill nye dolph lundgren dexter holland,0,4,0%,27
các đề tài nghiên cứu marketing,0,4,0%,27.75
pwc,0,4,0%,28.5
vấn đề dân tộc ở việt nam,0,4,0%,29
rent-seeking,0,4,0%,30
under review là gì,0,4,0%,32.25
dấu gạch nối,0,4,0%,32.5
logo nhà xuất bản tôn giáo,0,4,0%,33
gia đình nhật hoàng,0,4,0%,33.25
bao kh,0,4,0%,34
citing là gì,0,4,0%,34.25
vietnam journal of mathematics impact factor,0,4,0%,34.5
isi web of knowledge thomson reuters,0,4,0%,35
jurassic world phimmoi,0,4,0%,35.25
đồ thị id,0,4,0%,35.25
khoahocxanh,0,4,0%,36.25
thực dân anh,0,4,0%,37
trò chơi thời gian,0,4,0%,37.25
viết một đoạn văn,0,4,0%,37.25
quý tộc nhật bản,0,4,0%,38.5
nữ thiên hoàng nhật bản,0,4,0%,38.75
coi vú,0,4,0%,39.25
ấn phẩm là gì,0,4,0%,39.5
cấu trúc của một bài nghiên cứu khoa học,0,4,0%,40
nurture là gì,0,4,0%,40.25
sách hay về triết học,0,4,0%,40.25
thị trường thực phẩm hữu cơ việt nam,0,4,0%,43
pnas h index,0,4,0%,43.25
thuế trực thu,0,4,0%,43.75
bình đẳng dân tộc,0,4,0%,44.5
nobel kinh tế 2018,0,4,0%,44.75
dòng dõi hoàng tộc việt nam hiện nay,0,4,0%,45.25
thuốc artemisinin,0,4,0%,45.25
sự tiến hóa,0,4,0%,45.5
sting gia,0,4,0%,45.75
thị trường tiêu thụ,0,4,0%,46.75
riken,0,4,0%,47
thg 2015 bài đăng,0,4,0%,47
một ngày nắng mới,0,4,0%,47.75
cách viết research methodology,0,4,0%,48.25
khớp xương kêu,0,4,0%,48.75
kinh tế mỹ,0,4,0%,48.75
khoa hoc,0,4,0%,49.5
nội dung infinity war,0,4,0%,51.75
hình ảnh tâm tĩnh lặng,0,4,0%,52.25
research methodology là gì,0,4,0%,52.5
cấu trúc một bài báo khoa học,0,4,0%,53.75
vành đai con đường,0,4,0%,53.75
ví dụ về nghiên cứu khoa học,0,4,0%,53.75
so sánh lương,0,4,0%,54
phim 2015,0,4,0%,55
gia dinh hoang gia,0,4,0%,55.5
các loại tạp chí,0,4,0%,57.25
trang trí macbook,0,4,0%,57.5
chuyện phố phường,0,4,0%,57.75
phổ quát,0,4,0%,57.75
xem nhiều nhất,0,4,0%,58.25
bai hoc facial 2018,0,4,0%,59
giải nobel kinh tế,0,4,0%,59
nuanced là gì,0,4,0%,59
linhtam,0,4,0%,59.75
san hô việt nam,0,4,0%,60
bài viết về biến đổi khí hậu,0,4,0%,61
giải nobel 2018,0,4,0%,61
mot vanh dai mot con duong,0,4,0%,62.25
tạp chí gay,0,4,0%,62.25
sự tiến hóa của loài người,0,4,0%,63.25
bán ssh,0,4,0%,63.75
microfinance là gì,0,4,0%,64.25
phim thời đại khủng long,0,4,0%,64.75
bài viết về air pollution,0,4,0%,65.25
phim về khủng long,0,4,0%,65.25
phố phái,0,4,0%,65.25
tranh biện là gì,0,4,0%,65.25
bảng xếp hạng các trường đại học thế giới,0,4,0%,65.5
tài liệu access,0,4,0%,65.75
last modified là gì,0,4,0%,66
tokyo denki university ranking,0,4,0%,66
bill sullivan disney,0,4,0%,66.5
số id,0,4,0%,66.5
ted.com.vn,0,4,0%,66.75
chủng tộc,0,4,0%,67.5
phim t,0,4,0%,69
ted talk là gì,0,4,0%,69.25
trường hoàng gia,0,4,0%,69.25
interstellar giải thưởng,0,4,0%,70
thuyết trình về trí tuệ nhân tạo,0,4,0%,70.75
tạp chí tia sáng,0,4,0%,71.75
hiệu ứng giả dược,0,4,0%,72.5
tap chi triet hoc,0,4,0%,72.75
học cách khiêm tốn,0,4,0%,73.25
the big short brownfield,0,4,0%,73.25
sách chuyên khảo,0,4,0%,73.5
epistemology là gì,0,4,0%,74
hai tac lau,0,4,0%,74
thiên kiến,0,4,0%,74.25
phần mềm thống kê r,0,4,0%,74.5
triết học việt nam,0,4,0%,74.5
refeeding david blaine,0,4,0%,75.25
2015 bài đăng tác,0,4,0%,76.75
entrepreneurial là gì,0,4,0%,78
ila pham hung,0,4,0%,78
nguyễn quang thuấn,0,4,0%,78
trúng đích,0,4,0%,78.5
nghe thấy,0,4,0%,78.75
reflective là gì,0,4,0%,78.75
scholar là gì,0,4,0%,79.75
tổng quan tài liệu nghiên cứu,0,4,0%,80.25
nha xuat ban ton giao,0,4,0%,80.5
danh mục tạp chí khoa học được tính điểm 2018,0,4,0%,80.75
công sự,0,4,0%,81.75
nghiệm pháp wasserman,0,4,0%,82.25
bất kì,0,4,0%,82.5
khủng hoảng 2008,0,4,0%,82.5
confucianism là gì,0,4,0%,83.5
lha là gì,0,4,0%,83.75
chi phí r&d,0,4,0%,85
disciplinary là gì,0,4,0%,85
sàng gạo,0,4,0%,85.75
khoa học dữ liệu,0,4,0%,86.5
đại học thanh hoa trung quốc,0,4,0%,86.5
chừa,0,4,0%,87.25
toán học lý thú,0,4,0%,88
khắc nghiệt,0,4,0%,89
dù cà phê,0,4,0%,89.5
bệnh sốt rét,0,4,0%,90
công thức tính entropy,0,4,0%,90
revision là gì,0,4,0%,91.5
submission là gì,0,4,0%,91.5
ý niệm,0,4,0%,94.5
trang trong khoảng kết,0,4,0%,155
bayes equation,0,3,0%,1
nature research logo,0,3,0%,1
luong cường,0,3,0%,3
sting operation là gì,0,3,0%,4
mấu động to,0,3,0%,4.33
sub sahara,0,3,0%,4.33
cognitive research,0,3,0%,4.67
